,W,Preds
231,24.0,26.68077515920952
110,29.0,28.64894412286367
250,49.0,51.06320219256661
9,19.0,15.75240789737395
93,54.0,53.24784263342481
220,28.0,29.972433181631622
275,34.0,36.2705508294987
199,41.0,40.52487272067382
204,51.0,48.6396590683397
101,25.0,21.88033837201787
181,49.0,45.35841030576904
311,35.0,40.31681626499897
319,38.0,43.18397415579068
139,53.0,51.46545650360518
266,33.0,33.80157924359188
153,67.0,67.28250317776295
146,50.0,46.67328719694583
144,41.0,41.13760996082698
25,23.0,20.777295916162352
5,52.0,50.66679286143757
82,34.0,29.296402751223678
179,40.0,39.723708027421225
46,23.0,31.58227675249847
272,30.0,34.6826652516666
94,27.0,24.697659082127906
322,38.0,42.599374870665436
114,50.0,44.20863281633187
118,56.0,56.101908740014
63,43.0,37.22173035767377
309,31.0,38.041798140186614
244,58.0,54.554720916337445
209,48.0,44.92708868033809
254,48.0,45.03974423860162
177,67.0,68.6167960397741
303,31.0,36.59633685788831
175,10.0,15.766774620384307
55,40.0,48.23496350265498
33,33.0,38.473439991504286
163,41.0,40.554659526132724
167,21.0,21.60352522067251
286,44.0,43.58366142295874
42,42.0,47.00059226553676
119,56.0,46.065707643270855
173,48.0,42.85828352376366
45,37.0,39.074538109824296
306,45.0,52.02355872367644
84,41.0,38.32741835976748
295,15.0,16.745863161781337
57,22.0,23.054908296786838
16,46.0,42.56388913949225
77,45.0,36.6962493542047
90,54.0,49.33742546344057
7,43.0,44.52235067708373
76,44.0,39.07819768211475
78,41.0,36.7423283152563
291,20.0,27.934255651623833
287,31.0,33.23256226093462
176,32.0,32.94445024905603
3,39.0,35.26338305170132
73,56.0,52.724329670411805
324,21.0,11.78027666621363
248,29.0,25.44957240264092
60,57.0,47.96347891753794
124,39.0,37.344028489345874
261,41.0,37.41710920026132
172,40.0,43.23964700282933
