,W,Preds
231,24.0,26.65609992662202
110,29.0,30.679333766007304
250,49.0,52.068414142514364
9,19.0,19.509894439720654
93,54.0,55.70034464157445
220,28.0,30.22890376884154
275,34.0,34.28263484280371
199,41.0,41.24873595734544
204,51.0,52.2823788568927
101,25.0,22.032594760075916
181,49.0,46.71858469184004
311,35.0,37.130580533235964
319,38.0,40.30151366377621
139,53.0,52.004312282876406
266,33.0,33.789714982960255
153,67.0,66.9540658439139
146,50.0,48.92563144581292
144,41.0,40.95856455948507
25,23.0,21.868841639170917
5,52.0,56.229105178021975
82,34.0,31.024929040520554
179,40.0,42.32575902794782
46,23.0,24.8581281092396
272,30.0,33.03433710871611
94,27.0,25.00836373999958
322,38.0,38.78867955303407
114,50.0,45.33734618296747
118,56.0,58.48666732997848
63,43.0,41.24892525560194
309,31.0,33.63956144288901
244,58.0,56.42430396509365
209,48.0,45.05011650891712
254,48.0,45.96703759171559
177,67.0,67.9988651932683
303,31.0,35.75107684927166
175,10.0,14.003501022519444
55,40.0,40.6077575344498
33,33.0,31.999751513916515
163,41.0,40.2356571834942
167,21.0,21.998876871979185
286,44.0,41.43344316017294
42,42.0,39.63290789788886
119,56.0,50.217735360136224
173,48.0,46.078469334265854
45,37.0,34.42704649845936
306,45.0,46.67055070048095
84,41.0,40.670929497846345
295,15.0,15.587779245079929
57,22.0,18.186039585658563
16,46.0,44.280424800668804
77,45.0,41.80486791270966
90,54.0,52.875797410630504
7,43.0,46.50673697168656
76,44.0,42.21737056606599
78,41.0,38.78223008405681
291,20.0,26.17829295763459
287,31.0,31.12227961678139
176,32.0,31.894954644947532
3,39.0,37.57349036922645
73,56.0,59.00295836140045
324,21.0,13.755313188844596
248,29.0,26.576122668200107
60,57.0,56.01183782964831
124,39.0,37.97500864118667
261,41.0,38.962936770570614
172,40.0,45.292687495982285
